rxn_id	compartment	equation_cpd_ids	equation_names	reaction_name	source	log_action
rxn23042_c0	c0	2 cpd00067_c0 + cpd02894_c0 + cpd21480_c0 --> cpd00011_c0 + cpd00012_c0 + cpd00793_c0	2 H+_c0 + 4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0 + cpd21480_c0 --> CO2_c0 + PPi_c0 + Thiamine phosphate_c0	 thiamine-phosphate diphosphorylase (thiamine phosphate synthase)	excel_added_to_fsp237	added_equation
rxn10506_c0	c0	cpd00001_c0 + cpd00067_c0 + cpd15807_c0 --> cpd00013_c0 + cpd02720_c0	H2O_c0 + H+_c0 + 2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate_c0 --> NH3_c0 + 5-Amino-6--5-phosphoribitylaminouracil_c0	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase_c0	excel_added_to_fsp237	added_imm904
rxn00048_c0	c0	cpd00067_c0 + 2 cpd02656_c0 --> cpd00220_c0 + cpd02882_c0	H+_c0 + 2 6-7-Dimethyl-8--1-D-ribityllumazine_c0 --> Riboflavin_c0 + cpd02882_c0	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	excel_added_to_fsp237	added_equation
rxn01251_c0	c0	cpd00001_c0 + cpd00007_c0 + cpd00419_c0 --> cpd00013_c0 + cpd00025_c0 + cpd00215_c0	H2O_c0 + O2_c0 + PM_c0 --> NH3_c0 + H2O2_c0 + Pyridoxal_c0	 Pyridoxamine:oxygen oxidoreductase (deaminating)	excel_added_to_fsp237	added_equation
rxn02277_m0	m0	cpd00002_c0 + cpd00011_c0 + cpd00764_c0 <=> cpd00008_c0 + cpd00009_c0 + 3 cpd00067_c0 + cpd01311_c0	ATP_c0 + CO2_c0 + 7-8-Diaminononanoate_c0 <=> ADP_c0 + Phosphate_c0 + 3 H+_c0 + Dethiobiotin_c0	7,8-Diaminononanoate:carbon-dioxide cyclo-ligase_c0	excel_added_to_fsp237	added_imm904_compartment_remap
rxn02312_m0	m0	cpd00017_c0 + cpd00800_c0 <=> cpd00764_c0 + cpd02701_c0	S-Adenosyl-L-methionine_c0 + 8-Amino-7-oxononanoate_c0 <=> 7-8-Diaminononanoate_c0 + S-Adenosyl-4-methylthio-2-oxobutanoate_c0	S-Adenosyl-L-methionine:8-amino-7-oxononanoate aminotransferase_c0	excel_added_to_fsp237	added_imm904_compartment_remap
rxn05927_m0	m0	2 cpd00017_m0 + cpd00074_m0 + cpd01311_m0 --> 2 cpd00060_m0 + cpd00104_m0 + 2 cpd03091_m0	2 S-Adenosyl-L-methionine_m0 + S_m0 + Dethiobiotin_m0 --> 2 L-Methionine_m0 + BIOT_m0 + 2 cpd03091_m0	 biotin synthase	excel_added_to_fsp237	added_equation
rxn09532_c0	c0	cpd00001_m0 + cpd00010_m0 --> cpd00045_m0 + 2 cpd00067_m0 + cpd00834_m0	H2O_m0 + CoA_m0 --> Adenosine 3-5-bisphosphate_m0 + 2 H+_m0 + Phosphopantetheine_m0	acyl carrier protein synthase, mitochondrial_m0	excel_added_to_fsp237	added_imm904_compartment_remap
rxn01790_c0	c0	cpd00005_c0 + cpd00067_c0 + cpd00712_c0 --> cpd00006_c0 + cpd00408_c0	NADPH_c0 + H+_c0 + 2-Dehydropantoate_c0 --> NADP_c0 + Pantoate_c0	(R)-Pantoate:NADP+ 2-oxidoreductase_c0	excel_added_to_fsp237	added_imm904
rxn12512_c0	c0	cpd00002_c0 + cpd00084_c0 + cpd02201_c0 --> cpd00012_c0 + cpd00018_c0 + 2 cpd00067_c0 + cpd02666_c0	ATP_c0 + L-Cysteine_c0 + 4-phosphopantothenate_c0 --> PPi_c0 + AMP_c0 + 2 H+_c0 + (R)-4'-Phosphopantothenoyl-L-cysteine_c0	phosphopantothenate---cysteine ligase (ATP) 	excel_added_to_fsp237	added_equation
rxn03894_m0	m0	cpd00136_m0 + cpd00906_m0 --> cpd00012_m0 + cpd00067_m0 + cpd09429_m0	4-Hydroxybenzoate_m0 + all-trans-Hexaprenyl diphosphate_m0 --> PPi_m0 + H+_m0 + cpd09429_m0	rxn03894 [R05616] (Hydroxybenzoate octaprenyltransferase mitochondrial)	excel_added_to_fsp237	added_equation
rxn13204_m0	m0	0.5 cpd00007_m0 + cpd09429_m0 --> cpd03092_m0	0.5 O2_m0 + cpd09429_m0 --> 3-Hexaprenyl-4,5-dihydroxybenzoate_m0	 3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial	excel_added_to_fsp237	added_equation
rxn03392_m0	m0	cpd00005_m0 + cpd00007_m0 + cpd03441_m0 --> cpd00001_m0 + cpd00006_m0 + cpd03442_m0	NADPH_m0 + O2_m0 + 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone_m0 --> H2O_m0 + NADP_m0 + 2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone_m0	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial_m0	excel_added_to_fsp237	added_equation
rxn01629_c0	c0	cpd00338_c0 <=> cpd02345_c0	5-Aminolevulinate_c0 <=> cpd02345_c0	(S)-4-Amino-5-oxopentanoate 4,5-aminomutase	excel_added_to_fsp237	added_equation
rxn00024_e0	e0	cpd00007_e0 + 2 cpd00069_e0 --> 2 cpd00291_e0	O2_e0 + 2 L-Tyrosine_e0 --> 2 cpd00291_e0	 1,2-Benzenediol:oxygen oxidoreductase	excel_added_to_fsp237	added_equation
rxn00036_e0	e0	cpd00007_e0 + 2 cpd00291_e0 --> 2 cpd00001_e0 + 2 cpd00612_e0	O2_e0 + 2 cpd00291_e0 --> 2 H2O_e0 + 2 cpd00612_e0	 3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	excel_added_to_fsp237	added_equation
rxn11972_e0	e0	cpd00612_e0 --> cpd00067_e0 + cpd03330_e0	cpd00612_e0 --> H+_e0 + cpd03330_e0	rxn11972 [R02962]	excel_added_to_fsp237	added_equation
rxn02611_e0	e0	cpd00067_e0 + cpd01169_e0 --> cpd00011_e0 + cpd03308_e0	H+_e0 + cpd01169_e0 --> CO2_e0 + cpd03308_e0	rxn02611 [R03674]	excel_added_to_fsp237	added_equation
rxn02610_e0	e0	cpd01169_e0 --> cpd02571_e0	cpd01169_e0 --> cpd02571_e0	 L-Dopachrome delta7-delta2-isomerase	excel_added_to_fsp237	added_equation
rxn03338_e0	e0	cpd03330_e0 --> cpd00011_e0 + cpd00067_e0 + cpd03308_e0	cpd03330_e0 --> CO2_e0 + H+_e0 + cpd03308_e0	 R04885	excel_added_to_fsp237	added_equation
rxn03337_e0	e0	cpd00007_e0 + 2 cpd03308_e0 --> 2 cpd00001_e0 + 2 cpd03309_e0	O2_e0 + 2 cpd03308_e0 --> 2 H2O_e0 + 2 cpd03309_e0	 5,6-dihydroxyindole:oxygen oxidoreductase	excel_added_to_fsp237	added_equation
rxn06809_e0	e0	cpd00007_e0 + cpd03309_e0 <=> cpd00001_e0 + cpd12744_e0	O2_e0 + cpd03309_e0 <=> H2O_e0 + cpd12744_e0	rxn06809 [rxn06809]	excel_added_to_fsp237	added_equation
rxn15499_e0	e0	cpd00007_e0 + cpd03309_e0 --> cpd00001_e0 + cpd17923_e0	O2_e0 + cpd03309_e0 --> H2O_e0 + cpd17923_e0	rxn15499 [R04886]	excel_added_to_fsp237	added_equation
rxn07120_e0	e0	cpd02571_e0 <=> cpd12744_e0	cpd02571_e0 <=> cpd12744_e0	rxn07120 [rxn07120]	excel_added_to_fsp237	added_equation
rxn15819_e0	e0	cpd00084_e0 + cpd00612_e0 <=> cpd17921_e0	L-Cysteine_e0 + cpd00612_e0 <=> cpd17921_e0	rxn15819 [R08848]	excel_added_to_fsp237	added_equation
rxn44970_e0	e0	cpd00612_e0 + cpd17921_e0 <=> cpd00291_e0 + cpd35058_e0	cpd00612_e0 + cpd17921_e0 <=> cpd00291_e0 + cpd35058_e0	rxn44970 []	excel_added_to_fsp237	added_equation
rxn22818_m0	m0	cpd00002_m0 + cpd00010_m0 + cpd00308_m0 --> cpd00012_m0 + cpd00018_m0 + cpd00067_m0 + cpd00070_m0	ATP_m0 + CoA_m0 + cpd00308_m0 --> PPi_m0 + AMP_m0 + H+_m0 + Malonyl-CoA_m0	RXN-12359.c	excel_added_to_fsp237	added_equation
rxn00076_x0	x0	cpd00001_x0 + cpd00003_x0 --> cpd00018_x0 + 2 cpd00067_x0 + cpd00355_x0	H2O_x0 + NAD_x0 --> AMP_x0 + 2 H+_x0 + Nicotinamide ribonucleotide_x0	NAD+ phosphohydrolase_x0	excel_added_to_fsp237	added_imm904
rxn03841_c0	c0	cpd08210_c0 --> cpd00020_c0 + cpd00067_c0 + cpd00443_c0	ADC_c0 --> Pyruvate_c0 + H+_c0 + ABEE_c0	4-amino-4-deoxychorismate pyruvate-lyase_c0	excel_added_to_fsp237	added_imm904
rxn01653_c0	c0	cpd00002_c0 + cpd02197_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00347_c0	ATP_c0 + 5-Formyltetrahydrofolate_c0 --> ADP_c0 + Phosphate_c0 + 5-10-Methenyltetrahydrofolate_c0	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)_c0	excel_added_to_fsp237	added_imm904
rxn01257_c0	c0	cpd00053_c0 + cpd00216_c0 --> cpd00023_c0 + cpd08210_c0	L-Glutamine_c0 + Chorismate_c0 --> L-Glutamate_c0 + ADC_c0	chorismate:L-glutamine aminotransferase_c0	excel_added_to_fsp237	added_imm904
rxn02484_c0	c0	cpd00002_c0 + cpd00939_c0 --> cpd00008_c0 + cpd00067_c0 + cpd02775_c0	ATP_c0 + Toxopyrimidine_c0 --> ADP_c0 + H+_c0 + 4-Amino-5-phosphomethyl-2-methylpyrimidine_c0	ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase_c0	excel_added_to_fsp237	added_imm904
rxn30439_e0	e0	cpd00001_e0 + cpd00793_e0 --> cpd00009_e0 + cpd00305_e0	H2O_e0 + Thiamine phosphate_e0 --> Phosphate_e0 + Thiamin_e0	thiamin phosphatase, extracellular_e0	excel_added_to_fsp237	added_imm904
rxn09632_e0	e0	2 cpd00001_e0 + cpd00056_e0 --> 2 cpd00009_e0 + cpd00067_e0 + cpd00305_e0	2 H2O_e0 + TPP_e0 --> 2 Phosphate_e0 + H+_e0 + Thiamin_e0	thiamin diphosphatase, extracellular_e0	excel_added_to_fsp237	added_imm904
rxn00198_x0	x0	cpd00006_x0 + cpd00260_x0 --> cpd00005_x0 + cpd00011_x0 + cpd00024_x0	NADP_x0 + Isocitrate_x0 --> NADPH_x0 + CO2_x0 + 2-Oxoglutarate_x0	Isocitrate:NADP+ oxidoreductase (decarboxylating)_x0	excel_added_to_fsp237	added_imm904
rxn06134_c0	c0	cpd00007_c0 + 2 cpd00067_c0 + cpd00327_c0 + 2 cpd11797_c0 <=> cpd00001_c0 + cpd00399_c0 + 2 cpd11795_c0	O2_c0 + 2 H+_c0 + strcoa_c0 + 2 cpd11797_c0 <=> H2O_c0 + cpd00399_c0 + 2 cpd11795_c0	 MGDG specific palmitate delta-7 desaturase SP:A8J015_CHLRE	excel_added_to_fsp237	added_equation
rxn42762_c0	c0	cpd00007_c0 + 2 cpd00067_c0 + cpd00134_c0 + 2 cpd27031_c0 <=> 2 cpd00001_c0 + 2 cpd27029_c0 + cpd33156_c0	O2_c0 + 2 H+_c0 + Palmitoyl-CoA_c0 + 2 cpd27031_c0 <=> 2 H2O_c0 + 2 cpd27029_c0 + cpd33156_c0	palmitoyl-CoA Z11-desaturase 	excel_added_to_fsp237	added_equation
rxn10667_c0	c0	3 cpd00005_c0 + cpd00007_c0 + 4 cpd00067_c0 + cpd00070_c0 + cpd00214_c0 --> 3 cpd00001_c0 + 3 cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15269_c0	3 NADPH_c0 + O2_c0 + 4 H+_c0 + Malonyl-CoA_c0 + Palmitate_c0 --> 3 H2O_c0 + 3 NADP_c0 + CoA_c0 + CO2_c0 + octadecenoate_c0	fatty acid synthase (n-C18:1)_c0	excel_added_to_fsp237	added_imm904
rxn08445_c0	c0	cpd00001_c0 + cpd15274_c0 --> cpd00010_c0 + 2 cpd00067_c0 + cpd15269_c0	H2O_c0 + Octadecenoyl-CoA_c0 --> CoA_c0 + 2 H+_c0 + octadecenoate_c0	fatty-acid-CoA thioesterase (octadecenoate)	excel_added_to_fsp237	added_equation
rxn08053_x0	x0	cpd00015_x0 + cpd00327_x0 <=> cpd00982_x0 + cpd14937_x0	FAD_x0 + strcoa_x0 <=> FADH2_x0 + (2E)-Octadecenoyl-CoA_x0	acyl-CoA dehydrogenase (octadecanoyl-CoA)	excel_added_to_fsp237	added_equation
rxn00946_x0	x0	cpd00015_x0 + cpd00134_x0 <=> cpd00982_x0 + cpd03126_x0	FAD_x0 + Palmitoyl-CoA_x0 <=> FADH2_x0 + (2E)-Hexadecenoyl-CoA_x0	 Palmitoyl-CoA:oxygen 2-oxidoreductase	excel_added_to_fsp237	added_equation
rxn02804_x0	x0	cpd00022_x0 + cpd01695_x0 <=> cpd00010_x0 + cpd03114_x0	Acetyl-CoA_x0 + Myristoyl-CoA_x0 <=> CoA_x0 + 3-Oxopalmitoyl-CoA_x0	 myristoyl-CoA:acetylCoA C-myristoyltransferase	excel_added_to_fsp237	added_equation
rxn02803_x0	x0	cpd00015_x0 + cpd01695_x0 <=> cpd00982_x0 + cpd03127_x0	FAD_x0 + Myristoyl-CoA_x0 <=> FADH2_x0 + (2E)-Tetradecenoyl-CoA_x0	Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase	excel_added_to_fsp237	added_equation
rxn02720_x0	x0	cpd00015_x0 + cpd01260_x0 <=> cpd00982_x0 + cpd02060_x0	FAD_x0 + Lauroyl-CoA_x0 <=> FADH2_x0 + (2E)-Dodecenoyl-CoA_x0	 Lauroyl-CoA:(acceptor) 2,3-oxidoreductase	excel_added_to_fsp237	added_equation
rxn03253_x0	x0	cpd00015_x0 + cpd03128_x0 <=> cpd00982_x0 + cpd03129_x0	FAD_x0 + Decanoyl-CoA_x0 <=> FADH2_x0 + (2E)-Decenoyl-CoA_x0	 Decanoyl-CoA:(acceptor) 2,3-oxidoreductase	excel_added_to_fsp237	added_equation
rxn09480_x0	x0	cpd00010_x0 + cpd15207_x0 --> cpd00022_x0 + cpd00067_x0 + cpd15297_x0	CoA_x0 + 3-Oxohexacosyl-CoA_x0 --> Acetyl-CoA_x0 + H+_x0 + cpd15297_x0	acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal	excel_added_to_fsp237	added_equation
rxn09463_x0	x0	3 cpd00001_x0 + 3 cpd00003_x0 + 3 cpd00007_x0 + 3 cpd00010_x0 + cpd15297_x0 --> 3 cpd00004_x0 + 3 cpd00022_x0 + 3 cpd00025_x0 + 3 cpd00067_x0 + cpd00327_x0	3 H2O_x0 + 3 NAD_x0 + 3 O2_x0 + 3 CoA_x0 + cpd15297_x0 --> 3 NADH_x0 + 3 Acetyl-CoA_x0 + 3 H2O2_x0 + 3 H+_x0 + strcoa_x0	fatty acid oxidation (tetradecansoyl-CoA), peroxisomal	excel_added_to_fsp237	added_equation
rxn00533_m0	m0	cpd00002_m0 + cpd00022_m0 + cpd00242_m0 <=> cpd00008_m0 + cpd00009_m0 + cpd00067_m0 + cpd00070_m0	ATP_m0 + Acetyl-CoA_m0 + H2CO3_m0 <=> ADP_m0 + Phosphate_m0 + H+_m0 + Malonyl-CoA_m0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_m0	excel_added_to_fsp237	added_imm904
rxn23551_r0	r0	cpd00067_r0 + cpd00070_r0 + cpd00327_r0 <=> cpd00010_r0 + cpd00011_r0 + cpd24263_r0	H+_r0 + Malonyl-CoA_r0 + strcoa_r0 <=> CoA_r0 + CO2_r0 + 3-oxo-arachidoyl-CoA_r0	3-oxo-arachidonyl-CoA-synthase	excel_added_to_fsp237	added_imm904
rxn23534_r0	r0	cpd00006_r0 + cpd24266_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24263_r0	NADP_r0 + (3R)-3-hydroxy-arachidoyl-CoA_r0 <=> NADPH_r0 + H+_r0 + 3-oxo-arachidoyl-CoA_r0	3-oxoarachidoyl-CoA-reductase	excel_added_to_fsp237	added_imm904
rxn23565_r0	r0	cpd24266_r0 <=> cpd00001_r0 + cpd24270_r0	(3R)-3-hydroxy-arachidoyl-CoA_r0 <=> H2O_r0 + (2E)-arachidoenoyl-CoA_r0	3-hydroxy-arachidoyl-CoA dehydratase	excel_added_to_fsp237	added_imm904
rxn19046_r0	r0	cpd00006_r0 + cpd01393_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24270_r0	NADP_r0 + Icosanoyl-CoA_r0 <=> NADPH_r0 + H+_r0 + (2E)-arachidoenoyl-CoA_r0	trans-arachidon-2-enoyl-CoA reductase	excel_added_to_fsp237	added_imm904
rxn23554_r0	r0	cpd00067_r0 + cpd00070_r0 + cpd01393_r0 <=> cpd00010_r0 + cpd00011_r0 + cpd22630_r0	H+_r0 + Malonyl-CoA_r0 + Icosanoyl-CoA_r0 <=> CoA_r0 + CO2_r0 + 3-oxo-behenoyl-CoA_r0	3-oxo-behenoyl-CoA-synthase	excel_added_to_fsp237	added_imm904
rxn23531_r0	r0	cpd00006_r0 + cpd24267_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd22630_r0	NADP_r0 + (3R)-3-hydroxy-behenoyl-CoA_r0 <=> NADPH_r0 + H+_r0 + 3-oxo-behenoyl-CoA_r0	3-oxo-behenoyl-CoA-reductase	excel_added_to_fsp237	added_imm904
rxn22098_r0	r0	cpd24267_r0 <=> cpd00001_r0 + cpd24271_r0	(3R)-3-hydroxy-behenoyl-CoA_r0 <=> H2O_r0 + (2E)-docosenoyl-CoA_r0	trans-arachidon-2-enoyl-CoA reductase	excel_added_to_fsp237	added_imm904
rxn19044_r0	r0	cpd00006_r0 + cpd16343_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24271_r0	NADP_r0 + Behenoyl-CoA_r0 <=> NADPH_r0 + H+_r0 + (2E)-docosenoyl-CoA_r0	trans-docosan-2-enoyl-CoA reductase	excel_added_to_fsp237	added_imm904
rxn23559_r0	r0	cpd00067_r0 + cpd00070_r0 + cpd16343_r0 <=> cpd00010_r0 + cpd00011_r0 + cpd24264_r0	H+_r0 + Malonyl-CoA_r0 + Behenoyl-CoA_r0 <=> CoA_r0 + CO2_r0 + 3-oxo-lignoceroyl-CoA_r0	3-oxo-lignoceronyl-CoA-synthase	excel_added_to_fsp237	added_imm904
rxn23535_r0	r0	cpd00006_r0 + cpd24268_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24264_r0	NADP_r0 + (3R)-3-hydroxy-lignoceroyl-CoA_r0 <=> NADPH_r0 + H+_r0 + 3-oxo-lignoceroyl-CoA_r0	3-oxo-lignoceronyl-CoA-reductase	excel_added_to_fsp237	added_imm904
rxn22099_r0	r0	cpd24268_r0 <=> cpd00001_r0 + cpd24272_r0	(3R)-3-hydroxy-lignoceroyl-CoA_r0 <=> H2O_r0 + (2E)-lignocerenoyl-CoA_r0	3-hydroxy-lignoceroyl-CoA dehydratase	excel_added_to_fsp237	added_imm904
rxn19045_r0	r0	cpd00006_r0 + cpd29705_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24272_r0	NADP_r0 + tetracosanoyl-CoA  (n-C24:0CoA)_r0 <=> NADPH_r0 + H+_r0 + (2E)-lignocerenoyl-CoA_r0	trans-lignocero-2-enoyl-CoA reductase	excel_added_to_fsp237	added_imm904
rxn23557_r0	r0	cpd00067_r0 + cpd00070_r0 + cpd29705_r0 <=> cpd00010_r0 + cpd00011_r0 + cpd24265_r0	H+_r0 + Malonyl-CoA_r0 + tetracosanoyl-CoA  (n-C24:0CoA)_r0 <=> CoA_r0 + CO2_r0 + 3-oxo-cerotoyl-CoA_r0	3-oxo-cerotoyl-CoA-synthase	excel_added_to_fsp237	added_imm904
rxn23536_r0	r0	cpd00006_r0 + cpd24269_r0 <=> cpd00005_r0 + cpd00067_r0 + cpd24265_r0	NADP_r0 + (3R)-3-hydroxy-cerotoyl-CoA_r0 <=> NADPH_r0 + H+_r0 + 3-oxo-cerotoyl-CoA_r0	3-hydroxy-lignoceroyl-CoA dehydratase	excel_added_to_fsp237	added_imm904
rxn22100_r0	r0	cpd24269_r0 <=> cpd00001_r0 + cpd24273_r0	(3R)-3-hydroxy-cerotoyl-CoA_r0 <=> H2O_r0 + (2E)-cerotenoyl-CoA_r0	3-hydroxy-cerotoyl-CoA dehydratase	excel_added_to_fsp237	added_imm904
rxn09599_c0	c0	0.01 cpd11822_c0 + cpd15220_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15243_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-1 Sphinganine:n-C24:0)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-1 (24C), yeast-specific_c0	Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific	excel_added_to_fsp237	added_imm904
rxn09598_c0	c0	0.01 cpd11822_c0 + cpd15221_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15244_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-1 Sphinganine:n-C26:0)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0	Inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific	excel_added_to_fsp237	added_imm904
rxn09597_c0	c0	0.01 cpd11822_c0 + cpd15224_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15245_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-2 Phytosphingosine:n-C24:0)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0	Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific	excel_added_to_fsp237	added_imm904
rxn09596_c0	c0	0.01 cpd11822_c0 + cpd15225_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15246_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-2 Phytosphingosine:n-C26:0)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0	Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific	excel_added_to_fsp237	added_imm904
rxn09595_c0	c0	0.01 cpd11822_c0 + cpd15226_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15247_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-3 Phytosphingosine:n-C24:0OH)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0	Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific	excel_added_to_fsp237	added_imm904
rxn09594_c0	c0	0.01 cpd11822_c0 + cpd15227_c0 <=> 0.01 cpd15192_c0 + 0.01 cpd15248_c0	0.01 1-Phosphatidyl-myo-inositol_c0 + Ceramide-3 Phytosphingosine:n-C26:0OH)_c0 <=> 0.01 1,2-Diacylglycerol, yeast-specific_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0	Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific	excel_added_to_fsp237	added_imm904
