	flux
rxn01256_c0	0.05331065615298789
rxn00832_c0	-0.04276593932815122
rxn00737_m0	0.0
rxn02175_m0	0.0
rxn13307_c0	0.4086114865235822
GLCtv_c0	0.0
rxn01740_c0	0.06333604002928098
rxn01671_c0	4.515938683014646e-05
rxn00236_c0	0.0
rxn00002_c0	0.0
rxn09541_c0	0.0
rxn09771_c0	0.0
rxn09730_c0	0.0
rxn00860_c0	0.0
rxn09036_c0	0.0
ASPt2r_c0	0.0
rxn09540_c0	0.0
rxn09564_c0	0.0
rxn30381_c0	0.0
rxn06437_c0	0.0
rxn20661_c0	9.031877366312476e-05
rxn18921_x0	0.0
rxn00170_m0	0.2734494417409533
FACOAL240p_x0	0.0
rxn01521_c0	0.0
rxn05645_c0	0.0
rxn05561_c0	0.0
rxn03423_c0	0.0
CITtap_c0	0.0
rxn30330_m0	0.0
rxn03446_c0	0.0
rxn09657_c0	0.0
rxn20474_x0	0.0
rxn00438_c0	4.515938683014645e-05
rxn00239_c0	0.0034095337056765343
rxn00364_c0	0.7954600193196146
rxn05736_x0	0.0
rxn10505_c0	6.773908024521967e-05
rxn00175_c0	6.03968413374403
rxn09670_c0	0.0
rxn05466_c0	1.582926827170323
rxn13096_c0	0.0
rxn05611_c0	0.0
rxn00939_c0	0.0
rxn00236_g0	0.0
rxn01343_c0	0.0
rxn09177_c0	0.0
rxn09331_c0	0.0
PYRt2p_c0	0.0
rxn01145_c0	0.0
rxn13326_c0	0.0
rxn09417_m0	0.0
rxn03956_c0	0.0
PSERDv_SC_v0	0.0
rxn09851_x0	0.0
rxn00248_m0	0.0
rxn28356_m0	0.0
rxn30043_c0	0.03628556731802268
rxn09820_c0	0.0
rxn02826_c0	0.0
rxn00908_m0	0.9657754210790247
rxn09760_c0	0.0
rxn08633_c0	0.0
rxn03091_c0	0.0
rxn13406_c0	0.0
rxn13222_c0	0.0
rxn05580_c0	0.0
rxn08376_c0	0.0
rxn30037_c0	6.773908024587973e-05
rxn00953_c0	0.0
rxn30392_c0	7.685059941559445
rxn05303_c0	0.0
rxn09273_c0	0.0
rxn01268_c0	0.0
rxn12916_c0	0.0003838547880562447
rxn09755_c0	0.0
rxn05289_c0	0.021157172729924272
rxn01137_c0	0.0
rxn09445_x0	0.0
rxn02304_m0	2.2579693415073226e-05
rxn02134_c0	0.26535655701394056
AGAT_SC_c0	0.013547816049043883
NMNt2m_c0	0.0
rxn05239_c0	0.018447609520115486
rxn13316_c0	0.0
PIN3K_SC_c0	0.0
rxn28352_m0	0.0
rxn13411_c0	0.0
rxn09648_c0	-2.6184315671855516
rxn30392_n0	0.0
rxn01332_m0	0.0
rxn09511_r0	0.18242134310037655
rxn02302_c0	0.0
rxn01353_c0	0.0
rxn08455_c0	0.009686688475066384
ASNt2r_c0	0.0
rxn00704_c0	-0.37859371949053533
PIN4Kn_SC_n0	0.0
rxn00159_m0	0.0
rxn09462_x0	0.0
rxn00175_m0	0.4049535761903409
rxn19988_x0	0.0
rxn13345_c0	0.0
rxn09308_c0	0.0
rxn00605_c0	0.005283648259127135
rxn00137_c0	0.018447609520115503
ASPGLUtp_c0	0.14033279457467132
rxn08170_c0	0.0
rxn08213_c0	0.0
rxn13193_c0	0.0
rxn01003_c0	0.0
rxn01517_c0	-0.001354781604904394
ERGSTter_c0	2.2579693415073223e-05
rxn13357_c0	0.0
rxn00555_c0	0.0
rxn08554_c0	0.0
rxn13379_c0	0.0
rxn09844_x0	0.0
rxn30091_c0	0.03718875505462561
rxn15018_c0	0.0
rxn00506_m0	0.0
rxn03084_c0	0.03145351292719953
rxn00693_c0	0.022105519853356858
rxn08067_c0	0.0
rxn09841_c0	0.0
PIt2p_c0	0.0
rxn03004_c0	0.03145351292719952
rxn00062_c0	4.848772019402017
rxn06446_c0	0.0
rxn00105_c0	4.515938683014645e-05
rxn01520_c0	0.0008128689629426362
rxn13318_c0	0.0
CERS224er_r0	0.011922078123158666
TTDCAtr_c0	0.0
rxn04376_r0	0.0
rxn01385_c0	0.0
rxn30392_m0	0.0
rxn08454_c0	0.0
rxn00300_c0	6.773908024521967e-05
rxn02895_c0	0.03145351292719953
rxn13352_c0	0.0
rxn01485_c0	0.0
rxn05564_c0	0.0
D_LACDcm_c0	0.0
rxn13356_c0	0.0
rxn30431_c0	0.0
rxn00224_m0	4.515938683014646e-05
rxn13229_c0	0.0
rxn05273_g0	0.0
rxn09602_r0	0.2416027195412835
rxn09780_c0	0.2700624876286926
rxn02748_c0	0.0
rxn30403_m0	0.04351106921084611
rxn00075_m0	0.0
GLNt7_c0	0.0
rxn12510_c0	4.5159386830806515e-05
PLBP1I_SCe_e0	0.0
rxn09678_c0	0.0
rxn09705_c0	0.0
rxn08449_x0	0.0
TREt2v_c0	0.0
rxn00182_c0	0.0
rxn00065_c0	0.0
IPCS124_SC_c0	0.005848140594503966
rxn05204_c0	0.0
rxn09743_c0	0.0
rxn00710_c0	0.024973140917070855
FACOAL182_c0	0.0
PIN4K_SC_c0	0.136291029453382
rxn00154_m0	0.0
rxn01618_c0	0.0
rxn01454_c0	-0.0027095632098087866
rxn09490_c0	0.0
LEUt7_c0	0.0
rxn13199_c0	0.0
rxn00483_c0	0.0
rxn00440_c0	0.0
rxn09502_c0	0.0
rxn35347_m0	0.4054280722791057
rxn09475_x0	0.0
rxn30431_n0	0.0
FAS181ACPm_m0	0.0
FA182ACPH_c0	0.0
rxn00748_c0	0.0
rxn09507_g0	0.0
rxn05232_c0	0.0008128689629426362
rxn00198_c0	0.23365466745917707
CDPDGPm_SC_m0	0.0
rxn09818_c0	0.0
rxn09686_c0	0.0
rxn00412_c0	0.0
rxn03167_c0	0.0
rxn05669_c0	-1.6387608501694604e-16
IPCS224_SC_c0	0.005915879674749185
FEtm_c0	0.0
rxn05200_c0	0.0
rxn09651_c0	0.0
rxn18921_c0	0.0
rxn01960_c0	0.0
rxn09266_c0	-5.813062119393037e-16
rxn00299_c0	0.0036127509464122945
rxn08375_c0	0.0
rxn00361_c0	0.018447609520115486
rxn09626_c0	0.00038385478805624465
rxn13400_m0	4.515938683014645e-05
rxn08428_c0	0.0
rxn09882_m0	0.0
rxn28352_c0	0.0
rxn00097_c0	-44.4023144938407
rxn01423_c0	0.06462308255393955
rxn09579_r0	0.0
rxn06445_c0	0.0
rxn13351_c0	0.0
rxn00247_c0	0.0
rxn09562_c0	0.0008128689629426361
rxn09400_c0	0.25623436087425094
rxn01938_m0	0.0
rxn00505_m0	0.0
rxn01219_c0	0.0
rxn00459_c0	0.12667208005855823
rxn00288_m0	0.0
rxn04137_c0	0.0
rxn05595_c0	0.0
rxn01517_n0	0.0
rxn01807_c0	0.0
rxn02212_c0	0.06333604002928098
rxn09865_c0	0.0
rxn00198_m0	0.0
rxn01672_c0	0.001354781604904394
rxn09551_c0	0.0
rxn09508_g0	0.0
rxn03391_m0	4.515938683014645e-05
rxn00533_c0	5.237834061187951
rxn01790_m0	6.773908024587971e-05
rxn09468_x0	0.0
rxn09837_c0	0.0
rxn02303_c0	4.5159386830146466e-05
rxn01100_c0	-6.592505993295762
HACNHm_m0	0.06462308255393956
rxn13330_c0	0.0
rxn00187_c0	9.596795489910544
rxn09412_c0	0.0
rxn09498_m0	0.0
CO2tn_c0	0.0
rxn08767_x0	0.0
rxn13319_c0	0.0
IPCS226_SC_c0	0.0060513578352396225
2MBTOHtm_c0	0.0
rxn00272_c0	0.0
rxn00179_c0	0.0
rxn01726_x0	0.0
rxn13355_c0	0.0
rxn09519_c0	0.0
rxn01678_c0	-0.001354781604904394
rxn01454_m0	0.0
rxn13237_c0	-0.011922078123158666
H2Otn_c0	0.0
rxn32754_c0	0.3723617241079725
rxn08350_m0	0.29699070748845946
rxn09777_c0	0.0
rxn01646_c0	-4.515938683014645e-05
rxn00728_c0	0.0
rxn09478_x0	0.0
rxn00377_c0	0.0
rxn08451_x0	0.0
rxn05496_c0	0.0
rxn09458_c0	0.0
rxn00558_c0	1.596043478597465
rxn00416_c0	0.022963548203129472
rxn00391_e0	0.0
rxn30444_c0	0.023031287283374682
rxn09532_x0	0.0
rxn13218_c0	0.0
rxn30090_c0	0.0
rxn08437_c0	0.0
rxn00342_e0	0.0
rxn13222_m0	0.0
CYSTtp_c0	0.0
rxn30206_m0	0.06462308255393956
rxn09645_c0	2.2579693415073223e-05
rxn09721_c0	4.5159386830146466e-05
rxn09788_c0	0.0
rxn09521_c0	0.0
rxn00781_c0	6.592505993295762
rxn01466_c0	0.0008580283497727825
3OPHB_5tm_c0	0.0
rxn00927_c0	0.006999704958672865
rxn00835_c0	0.0
rxn09614_c0	0.0027095632098087866
rxn01987_c0	0.0
rxn05920_c0	0.0
PAPtm_c0	-1.846280890245766e-17
rxn01332_c0	0.06333604002928098
TRPt2r_c0	0.0
rxn01300_c0	2.0363883586842326
rxn05197_c0	0.0
rxn00138_n0	0.0
rxn09722_c0	-0.13809740492658668
rxn00708_c0	0.0
rxn05108_c0	6.773908024587976e-05
rxn00141_c0	0.007044864345503012
rxn27940_m0	0.0
rxn09524_c0	0.0
rxn00119_n0	0.0
rxn00205_c0	0.0
rxn09547_c0	0.013547816049043883
FE2utm_c0	4.515938683014646e-05
GLNt2r_c0	1.4951372943428517e-16
PStm_SC_c0	4.515938683014702e-05
rxn09819_c0	0.0
rxn01199_c0	0.0
rxn02358_c0	0.0
rxn09673_c0	0.0
rxn00806_c0	-0.06692621128227703
rxn30365_m0	0.0
ACALDCD_c0	0.0
rxn03630_c0	0.0
rxn09655_c0	0.0
rxn32134_c0	0.0
rxn06438_c0	0.0
rxn00859_c0	0.013163961260987688
rxn05593_c0	0.0
rxn33415_c0	0.0
rxn01726_m0	0.0
rxn01182_m0	4.515938683014646e-05
rxn01938_c0	0.0
rxn00711_c0	0.0
PEtv_SC_c0	0.0
rxn08343_c0	0.0
rxn09439_m0	0.0
rxn09768_c0	-0.0036127509464111544
ACRNtp_c0	0.0
rxn15108_c0	0.08320617023455089
CRNtp_c0	0.0
rxn13188_c0	0.0
rxn00646_c0	0.0
rxn00213_c0	43.21891276195671
4ABZtm_c0	0.0036127509464111552
rxn01512_c0	0.0
rxn05465_m0	0.0
rxn13195_c0	0.04351106921084611
TYRt7_c0	0.0
METt2r_c0	0.0
rxn13253_e0	0.0
rxn01333_c0	0.8684752212594882
rxn00075_c0	0.0
rxn08104_c0	0.0
rxn05299_c0	0.0
rxn30674_m0	0.0
rxn00077_m0	0.0
rxn06937_c0	0.0
rxn00014_m0	0.0
rxn00834_c0	0.014609061639552856
rxn30328_m0	4.515938683014645e-05
rxn09623_c0	0.00038385478805624476
CO2tg_c0	0.0
rxn13255_e0	0.0
FAS160ACPm_m0	0.0
3MBALDtm_c0	0.0
rxn01483_c0	0.0
rxn31870_c0	0.02391189532656272
rxn13407_c0	0.0
rxn01827_c0	0.0
rxn09441_c0	0.5600667154674762
rxn00742_c0	0.0
FORtm_c0	0.0
rxn13358_c0	0.0
rxn09802_c0	4.5159386830151745e-05
rxn02811_c0	-0.06692621128227703
rxn09522_m0	0.0
rxn15115_c0	0.0
rxn00191_m0	0.0
rxn00138_c0	9.031877366312473e-05
rxn08441_x0	0.0
rxn05305_c0	0.0
rxn00806_m0	0.0
rxn05211_c0	0.0
rxn00634_c0	0.0
rxn00717_c0	0.0
FAO240p_x0	0.0
rxn08685_c0	0.0
rxn08564_c0	0.0
rxn00604_r0	2.618431567185551
rxn09672_c0	0.0
rxn09531_c0	0.001806375473205858
rxn02133_c0	0.0
rxn05198_c0	0.0
rxn00205_m0	0.0
rxn09794_c0	0.0
rxn00541_c0	1.9345991007690826
rxn08677_c0	0.0
rxn09611_c0	0.0
rxn01241_m0	0.0
PEtm_SC_c0	-4.5159386830147015e-05
rxn08854_c0	0.0
rxn01269_c0	0.023076446670204833
rxn09759_c0	0.0
rxn01069_c0	2.0363883586842326
rxn00001_c0	0.0
rxn13350_c0	0.0
rxn06377_m0	0.0
rxn13315_c0	0.0
rxn09824_c0	0.0
rxn19979_x0	0.0
rxn09792_c0	0.0
rxn13255_c0	0.0
rxn13208_m0	4.5159386830146466e-05
rxn30444_x0	0.0
rxn05217_c0	0.008851239818710097
rxn06449_c0	0.0
rxn09361_c0	0.0
rxn02004_c0	0.005283648259127134
rxn13324_c0	0.0
rxn06440_c0	0.0
H2Oter_c0	-1.044039864126156
GCALDtm_c0	-0.003612750946412294
rxn08142_c0	0.0
rxn09563_c0	0.024340909501451635
rxn09640_c0	0.0003838547880562447
rxn13238_c0	-0.2416027195412835
rxn03075_c0	0.0
rxn09611_e0	0.0
rxn01726_c0	0.0
rxn09822_c0	0.0
ASPOcm_c0	9.031877366312475e-05
rxn05205_c0	0.0
rxn09470_x0	0.0
rxn09809_c0	0.0
rxn02504_m0	0.0036127509464122937
rxn00509_c0	0.0
rxn08705_c0	0.0
NH4tm_c0	-0.9657754210790247
rxn05104_c0	6.773908024587976e-05
rxn00191_c0	-0.10535684947473166
rxn00689_c0	0.0
rxn09061_c0	0.0
rxn02358_m0	0.0
AKGt2r_c0	0.0
rxn30341_m0	0.0
rxn09680_c0	-0.005464285806448299
IND3ETHtm_c0	0.0
rxn05792_c0	0.0
rxn00097_m0	0.0
rxn00077_c0	0.0
rxn00952_c0	0.0
rxn00790_c0	0.03145351292719953
rxn05238_c0	0.022963548203130128
rxn06441_m0	0.0
rxn05465_c0	0.0
rxn09464_x0	0.0
COAtn_c0	0.0
rxn06440_m0	0.0
rxn08570_c0	2.6184315671855516
rxn09216_c0	99.54641911857802
rxn09658_c0	0.0
rxn09434_m0	0.0
rxn34726_c0	-50.70726486582503
rxn09793_c0	0.0
rxn01791_c0	6.773908024587975e-05
PHEt2r_c0	0.0
rxn13260_c0	0.0
rxn05493_c0	0.0
rxn09461_x0	0.0
rxn00392_m0	0.0
rxn05605_c0	0.0
rxn39076_c0	0.0
rxn00088_m0	0.2438381091893743
rxn13403_v0	0.0
H2Otm_c0	0.04536260417088239
rxn01211_m0	0.0
rxn09784_c0	0.00013547816049043937
rxn13200_c0	0.0
rxn01637_m0	0.07347432237264831
rxn06444_c0	0.0
rxn09697_c0	0.0
PACALDtm_c0	0.0
rxn09601_c0	0.006006198448409479
rxn09491_c0	0.0022579693415073227
rxn01368_c0	0.0
rxn13363_c0	0.0
rxn10832_c0	0.0
rxn30674_c0	-0.09332187288450516
rxn12585_c0	0.0
rxn30333_m0	0.04351106921084611
rxn03062_c0	0.06692621128227702
rxn09779_c0	0.0
rxn09699_c0	0.0
rxn08428_m0	0.0
2MBALDtm_c0	0.0
rxn00214_c0	0.0
rxn00119_c0	0.011447904561441994
rxn30365_c0	0.40842149449184445
OCDCYAt_c0	0.0
rxn00510_c0	0.06462308255393956
rxn08857_c0	0.0
rxn00907_m0	0.0
rxn09756_c0	0.0
rxn09523_m0	0.7865152350567599
rxn08747_c0	0.0
rxn00737_c0	0.05857172471869995
rxn01396_c0	0.0
rxn05235_c0	0.001354781604904394
rxn02937_c0	0.03145351292719953
rxn00260_c0	-2.394818411955109
rxn02460_n0	0.0
rxn09473_x0	0.0
rxn09397_c0	0.0
rxn09457_c0	0.0026418241295635583
rxn08424_c0	0.0
rxn00130_c0	0.0
rxn00363_c0	0.0
rxn01507_c0	0.0
rxn01301_c0	2.0363883586842326
rxn09733_c0	-0.008851239818710097
rxn09661_c0	0.0
rxn21082_c0	0.0
rxn00641_c0	0.3723617241079725
rxn27497_c0	0.0
rxn00194_c0	0.0
rxn00369_c0	0.0
rxn05745_m0	0.0
rxn00351_c0	0.0
rxn00127_c0	6.773908024587975e-05
rxn09799_c0	-0.0598136078565296
rxn01673_c0	0.0
rxn00917_c0	0.014609061639552855
rxn09509_g0	0.0
rxn00559_c0	-0.3723617241079725
rxn00409_c0	0.7954600193196145
rxn01917_m0	0.07347432237264831
rxn00132_c0	0.0
rxn09689_c0	0.0
rxn13203_c0	0.0
rxn13189_c0	0.0
rxn09546_c0	0.0
TYRt2r_c0	0.0
rxn08032_m0	0.0
rxn13186_m0	4.515938683014646e-05
rxn05499_c0	0.0
rxn06441_c0	0.0
PETOHM_SC_c0	0.0022579693415073787
rxn30081_m0	0.07347432237264831
rxn02374_m0	0.0
rxn00126_c0	0.01072535437216061
rxn01209_c0	0.0
PGPPAm_SC_m0	0.0
rxn09758_c0	0.0
PLBPC_SC_c0	0.0
rxn02175_c0	4.515938683082498e-05
NH4tn_c0	0.0
rxn06300_c0	0.0
rxn09559_c0	0.0
rxn09690_c0	0.0
rxn06600_m0	0.0
rxn00088_c0	1.8347065371007927
rxn13930_c0	0.0
rxn08265_c0	0.0
rxn01362_c0	-0.024973140917070855
rxn01101_c0	6.465833913237203
rxn08440_x0	0.0
rxn00452_c0	0.0
rxn03137_c0	0.04276593932815122
SACCD1_c0	0.06462308255393956
rxn09467_x0	0.0
rxn09647_c0	-0.18242134310037658
rxn13234_c0	0.0
rxn05568_c0	0.0
rxn08436_c0	0.0
rxn09460_c0	0.0
rxn05318_c0	0.0
rxn00001_m0	0.4087469646840726
rxn01476_c0	2.6184315671855516
rxn09442_m0	0.0
rxn27497_m0	0.066926211282277
rxn00543_m0	0.0
rxn06449_m0	0.0
rxn01450_c0	0.0
rxn00929_m0	0.0
rxn09385_c0	0.0
rxn02911_x0	0.0
rxn09845_x0	0.0
rxn13380_c0	0.0
rxn09506_g0	0.0
rxn30050_c0	0.0
CRNtim_c0	0.0
rxn13321_c0	0.0
rxn09770_c0	0.0
HDCAt_c0	0.0
rxn09477_x0	0.0
rxn00920_c0	0.0
rxn09435_c0	0.5577184273523086
rxn02200_m0	0.0
rxn04680_m0	4.515938683014646e-05
rxn09750_c0	0.13809740492658668
rxn00248_c0	0.09332187288450579
4H2OGLTtp_c0	0.0
rxn06556_c0	0.0
C14STR_c0	0.0
rxn09296_x0	0.0
rxn00414_c0	0.06125870823509353
rxn05317_c0	0.0
rxn01652_m0	0.0
rxn01653_m0	0.0
rxn00241_c0	0.0
ID3ACALDtm_c0	0.0
rxn09801_c0	0.0
IPCS126_SC_c0	0.005983618754994406
ACtp_c0	0.0
rxn00800_c0	0.0281568776886019
rxn01255_c0	0.06333604002928096
rxn01106_c0	-0.12667208005855823
rxn09713_c0	0.0007225501892823434
rxn09560_c0	0.0
rxn01731_m0	0.0
rxn06493_m0	0.0
rxn19830_c0	0.01316396126098769
rxn09774_c0	0.0
rxn00741_c0	0.0
rxn07328_c0	2.2579693415073226e-05
rxn09719_c0	0.0
rxn09035_c0	0.0
rxn34273_c0	0.8684752212594882
rxn02305_c0	0.0
rxn09421_c0	0.5600667154674762
rxn13312_c0	0.0
rxn19982_x0	0.0
rxn09800_c0	0.0
H2Otp_c0	0.0
rxn09296_m0	0.0
rxn05300_c0	0.0
rxn00543_c0	0.0
GLYt2r_c0	0.0
rxn19316_x0	0.23365466745917712
ASPt2n_c0	0.0
rxn13251_c0	0.0006322314156194026
rxn01252_c0	0.0
rxn13299_c0	42.84031904246618
rxn13288_e0	0.0
rxn09296_n0	0.0
rxn05488_c0	0.0
rxn15114_c0	-0.9446816865353661
rxn02275_c0	0.0
AASAD1_c0	0.0
rxn09616_c0	0.0
rxn01575_c0	-0.04351106921084611
ARGt2r_c0	0.0
IAMOHtm_c0	0.0
rxn00747_c0	-2.883658022156481
rxn13191_c0	0.0
rxn00478_c0	0.0
rxn09472_x0	0.0
rxn13288_c0	0.0
rxn09769_c0	0.003612750946412294
ASPt7_c0	0.0
GLUt7_c0	0.0
rxn00139_c0	0.00711260342574889
rxn30417_c0	0.06692621128227703
rxn02322_c0	0.002709563209808787
rxn02356_m0	0.0
rxn00140_c0	0.0
rxn03070_m0	0.0
rxn05120_m0	4.5159386830146466e-05
rxn02341_c0	4.515938683080652e-05
rxn13214_c0	0.0
rxn09525_c0	0.0
3MOPtm_c0	-0.04351106921084611
rxn00184_c0	0.0
rxn09378_c0	0.0
rxn02288_c0	4.515938683014646e-05
rxn01607_c0	0.0
2PHETOHtm_c0	0.0
rxn09796_c0	0.0
rxn00092_c0	0.0
rxn32907_c0	0.015060655507853843
rxn02476_c0	0.06333604002928098
rxn00260_x0	0.14033279457467132
rxn08134_c0	0.0
rxn13223_c0	0.0
HDCEAt_c0	0.0
rxn00831_c0	-1.9462677477397877e-18
rxn13341_c0	0.00038385478805624465
rxn00938_c0	0.0
rxn30066_c0	0.006412632929880797
rxn09741_c0	0.0
rxn05306_c0	0.0
rxn30390_x0	0.0
rxn08323_c0	0.0
rxn12918_c0	0.0
rxn13353_c0	0.0
rxn09778_c0	0.0
rxn09619_c0	2.2579693415073223e-05
rxn05231_n0	0.0
rxn08154_c0	0.0
rxn00007_v0	0.0
rxn02374_c0	0.03718875505462561
rxn00178_m0	0.0
rxn06448_c0	0.0
rxn01000_c0	0.03023420948278304
rxn05312_c0	0.0
KARA1im_m0	0.1267398191388066
rxn13290_c0	4.5159386830146466e-05
rxn09625_c0	0.00038385478805624476
rxn01961_c0	0.0
rxn30425_m0	0.004515938683014701
ORNt2r_c0	0.0
rxn00791_c0	0.006412632929880795
rxn05349_c0	0.0
rxn13361_c0	0.0
rxn13258_c0	0.0
rxn00906_c0	0.0
rxn10075_c0	6.773908024587975e-05
rxn13349_c0	0.0
rxn00122_c0	4.515938683014645e-05
THZPSN2_SC_c0	0.0
rxn00371_c0	0.0
rxn13314_c0	0.0
rxn30035_c0	0.006412632929880796
rxn02503_m0	0.003612750946411155
rxn04040_n0	0.0
HICITDm_m0	0.06462308255393956
TYRt2p_c0	0.0
rxn00808_c0	0.0
rxn00609_c0	0.40164758646732246
rxn01843_c0	0.0
rxn09823_c0	0.0
rxn06444_m0	0.0
rxn06439_m0	0.0
frxn35348_m0	0.8108561445582115
rxn05654_c0	0.0
rxn00379_c0	0.018447609520115486
rxn09785_c0	-0.00013547816049043937
rxn01204_c0	0.0
rxn09642_c0	-0.18242134310037655
rxn30054_c0	6.773908024521969e-05
rxn35572_c0	0.029601978067163522
HBZOPT6m_m0	0.0
rxn01143_c0	0.0
rxn00690_m0	0.0
rxn09438_c0	0.5594796434386843
rxn01018_c0	0.024973140917070848
rxn01575_m0	0.0
rxn01518_c0	0.0
rxn03913_r0	2.2579693415073223e-05
rxn13417_c0	0.0
L_LACtm_c0	0.0
rxn00938_m0	0.0
ADHAPR_SC_c0	0.01354781604904388
rxn01971_c0	0.0
rxn09516_c0	0.0
rxn01303_c0	0.0
rxn02213_c0	0.06333604002928098
rxn00392_c0	4.5159386830146446e-05
rxn09664_c0	0.0
rxn19316_m0	0.0
rxn05652_c0	0.0
rxn05040_c0	0.00013547816049043934
rxn00686_c0	0.0044256199093549295
rxn00751_c0	0.3971316477843079
rxn13417_e0	0.0
rxn00060_c0	9.031877366029292e-05
rxn01486_c0	4.5159386830146446e-05
rxn09476_x0	0.0
rxn13207_m0	4.5159386830146466e-05
rxn05680_c0	0.0
rxn01420_m0	0.06462308255393955
rxn30417_m0	0.0
rxn02834_c0	0.013163961260987692
LCYSTintv_c0	0.0
rxn30427_x0	0.0
CO2tv_c0	0.0
rxn00117_c0	43.23307022972795
rxn09621_c0	0.00038385478805624476
rxn05491_c0	0.0
rxn09726_c0	0.0
rxn08643_c0	0.0
rxn00380_c0	0.0
rxn09459_c0	0.0
rxn05287_c0	4.5159386830146446e-05
rxn01930_c0	0.0
rxn19986_x0	0.0
rxn05566_c0	0.0
rxn08674_c0	0.0
rxn02989_c0	0.0
rxn09608_c0	0.0
rxn00410_c0	0.011447904561441976
rxn01217_c0	-0.0005419126419617575
rxn05638_c0	0.0
rxn06439_c0	0.0
rxn01739_c0	0.06333604002928099
rxn05349_m0	0.0
rxn06432_c0	0.0
rxn04381_c0	0.2535247976644422
rxn00209_c0	0.0
rxn13362_c0	0.0
rxn13336_c0	0.0
rxn00515_c0	0.0
rxn00789_c0	0.01316396126098769
GLUt2r_c0	0.0
rxn13336_e0	0.0
rxn00178_c0	0.0027095632098087866
rxn09665_c0	0.0
rxn06936_c0	0.0
rxn02473_c0	0.01316396126098769
rxn00912_c0	6.773908024587975e-05
VALt2r_c0	0.0
rxn13398_c0	0.0
rxn00260_m0	0.008851239818710098
3OPHB5Hm_c0	0.0
rxn01479_c0	0.0
rxn01274_m0	0.0
rxn02264_c0	9.031877366029292e-05
TAGL_SC_c0	0.0
rxn15467_m0	0.1267398191388066
rxn09839_c0	0.0
rxn13258_e0	0.0
HISt2r_c0	0.0
rxn12777_m0	0.0
rxn03240_x0	0.0
rxn28987_c0	4.515938683014646e-05
rxn00947_x0	0.0
rxn00507_c0	6.171188268193417
rxn01053_c0	0.0
rxn00560_c0	0.0
rxn09296_c0	0.0
